symbol,header,message,date,amount
NTAP,Dividend,NTAP announced a cash dividend of 0.52 with an ex-date of Apr. 4 2025,2025-04-04,0.52
WSM,Dividend,WSM announced a cash dividend of 0.66 with an ex-date of Apr. 17 2025,2025-04-17,0.66
NTR,Dividend,NTR announced a cash dividend of 0.545 with an ex-date of Mar. 31 2025,2025-03-31,0.545
DRI,Dividend,DRI announced a cash dividend of 1.40 with an ex-date of Apr. 10 2025,2025-04-10,1.40
BEKE,Dividend,BEKE announced a cash dividend of 0.36 with an ex-date of Apr. 9 2025,2025-04-09,0.36
LII,Dividend,LII announced a cash dividend of 1.15 with an ex-date of Apr. 30 2025,2025-04-30,1.15
ERIE,Dividend,ERIE announced a cash dividend of 1.365 with an ex-date of Apr. 7 2025,2025-04-07,1.365
ZBH,Dividend,ZBH announced a cash dividend of 0.24 with an ex-date of Mar. 31 2025,2025-03-31,0.24
MKC,Dividend,MKC announced a cash dividend of 0.45 with an ex-date of Apr. 7 2025,2025-04-07,0.45
CLX,Dividend,CLX announced a cash dividend of 1.22 with an ex-date of Apr. 23 2025,2025-04-23,1.22
IHG,Dividend,IHG announced a cash dividend of 1.144 with an ex-date of Apr. 4 2025,2025-04-04,1.144
SGSOY,Dividend,SGSOY announced a cash dividend of 0.363 with an ex-date of Apr. 3 2025,2025-04-03,0.363
ESS,Dividend,ESS announced a cash dividend of 2.57 with an ex-date of Mar. 31 2025,2025-03-31,2.57
MAA,Dividend,MAA announced a cash dividend of 1.515 with an ex-date of Apr. 15 2025,2025-04-15,1.515
ARE,Dividend,ARE announced a cash dividend of 1.32 with an ex-date of Mar. 31 2025,2025-03-31,1.32
HRL,Dividend,HRL announced a cash dividend of 0.29 with an ex-date of Apr. 14 2025,2025-04-14,0.29
STLD,Dividend,STLD announced a cash dividend of 0.50 with an ex-date of Mar. 31 2025,2025-03-31,0.50
EC,Dividend,EC announced a cash dividend of 0.52 with an ex-date of Apr. 3 2025,2025-04-03,0.52
NI,Dividend,NI announced a cash dividend of 0.28 with an ex-date of Apr. 30 2025,2025-04-30,0.28
DGX,Dividend,DGX announced a cash dividend of 0.80 with an ex-date of Apr. 7 2025,2025-04-07,0.80
PNR,Dividend,PNR announced a cash dividend of 0.25 with an ex-date of Apr. 17 2025,2025-04-17,0.25
SUI,Dividend,SUI announced a cash dividend of 0.94 with an ex-date of Mar. 31 2025,2025-03-31,0.94
DG,Dividend,DG announced a cash dividend of 0.59 with an ex-date of Apr. 8 2025,2025-04-08,0.59
UDR,Dividend,UDR announced a cash dividend of 0.43 with an ex-date of Apr. 10 2025,2025-04-10,0.43
LINE,Dividend,LINE announced a cash dividend of 0.527 with an ex-date of Mar. 31 2025,2025-03-31,0.527
MORN,Dividend,MORN announced a cash dividend of 0.455 with an ex-date of Apr. 4 2025,2025-04-04,0.455
ACM,Dividend,ACM announced a cash dividend of 0.26 with an ex-date of Apr. 2 2025,2025-04-02,0.26
KKPNY,Dividend,KKPNY announced a cash dividend of 0.106 with an ex-date of Apr. 23 2025,2025-04-23,0.106
GGG,Dividend,GGG announced a cash dividend of 0.275 with an ex-date of Apr. 14 2025,2025-04-14,0.275
RVTY,Dividend,RVTY announced a cash dividend of 0.07 with an ex-date of Apr. 17 2025,2025-04-17,0.07
JBAXY,Dividend,JBAXY announced a cash dividend of 0.568 with an ex-date of Apr. 15 2025,2025-04-15,0.568
BXP,Dividend,BXP announced a cash dividend of 0.98 with an ex-date of Mar. 31 2025,2025-03-31,0.98
TOL,Dividend,TOL announced a cash dividend of 0.25 with an ex-date of Apr. 11 2025,2025-04-11,0.25
RTO,Dividend,RTO announced a cash dividend of 0.382 with an ex-date of Apr. 4 2025,2025-04-04,0.382
